model,x_axis,y_axis,group,smoothing_label,smoothing,fit_rmse_percentile_points,support_fraction,supported_cells,clipped_supported_cells,fitted_nodes_clipped,unclipped_supported_min,unclipped_supported_max,maximum_node_fabric_gap,flat_plane_node_rmse,flat_plane_node_r2,fabric_flat_rmse,fabric_flat_r2,fabric_flat_score
qwen,1,2,Exploration,Detail,0.003,3.090731255583995,0.3980112872883633,1481,0,0,9.0957303739363,93.17302481677113,13.003365102319968,13.535855481004923,0.6107461243726215,11.271439905468613,0.6468323229875192,64.68323229875193
qwen,1,2,Response,Detail,0.003,2.2628653132254706,0.3980112872883633,1481,0,0,6.680315677211669,97.25723841505729,8.946761211147496,10.7000242251792,0.7981024589948633,9.285556722028417,0.8325729101085271,83.25729101085271
qwen,1,2,Scrutiny,Detail,0.003,2.4891292208595237,0.3980112872883633,1481,0,0,5.383223426173278,95.6194081890192,8.218528939479242,11.169403587606991,0.7876745340330731,10.367427787807854,0.7179158592578939,71.79158592578939
qwen,1,2,Challenge,Detail,0.003,3.639248482443726,0.3980112872883633,1481,24,0,4.894774839596897,106.45953803873223,12.232904741399942,14.172335014685142,0.7315540493758264,11.900327168744667,0.7466375212013239,74.66375212013239
qwen,1,2,Affiliation,Detail,0.003,5.2792173560709745,0.3980112872883633,1481,0,0,7.428416803893054,91.93411328189359,17.908631166621987,20.493368707537847,0.012247374994225235,18.260948183381686,-0.010085647047669344,0.0
qwen,1,2,Exploration,Balanced,0.03,6.558718157183601,0.3980112872883633,1481,0,0,10.453459308909967,88.2548411330376,19.93195334669388,13.535855481004923,0.6107461243726215,9.037272680214727,0.7319518542349701,73.19518542349701
qwen,1,2,Response,Balanced,0.03,4.976905937217087,0.3980112872883633,1481,0,0,6.837416371373447,95.69924345702321,17.167657067979874,10.7000242251792,0.7981024589948633,7.438480315069276,0.888265535192162,88.8265535192162
qwen,1,2,Scrutiny,Balanced,0.03,5.825670245353753,0.3980112872883633,1481,0,0,12.219662689642707,95.39804093089043,18.18150712599863,11.169403587606991,0.7876745340330731,7.926880896943196,0.8182167638451716,81.82167638451716
qwen,1,2,Challenge,Balanced,0.03,8.18582753613278,0.3980112872883633,1481,5,0,9.528768448447387,101.67163180262051,25.81066556949115,14.172335014685142,0.7315540493758264,9.055052489521435,0.8343602635110416,83.43602635110416
qwen,1,2,Affiliation,Balanced,0.03,11.841456174278498,0.3980112872883633,1481,0,0,17.777323053451365,85.7755561622519,37.25280136921289,20.493368707537847,0.012247374994225235,13.717242001362571,-0.02454483758317294,0.0
qwen,1,2,Exploration,Gentle,0.3,9.403356788927363,0.3980112872883633,1481,0,0,11.489618376371606,82.47923935307752,25.382354432690974,13.535855481004923,0.6107461243726215,7.109063704813258,0.8056678278671353,80.56678278671353
