indicator,axis,p_value,bh_fdr_q,fdr_significant
q_2765,C1,1.6632695487366248e-09,4.0542195250455226e-09,True
q_2765,C2,6.436457057747796e-07,9.297104638969039e-07,True
q_2765,C3,9.173200486148866e-14,7.155096379196116e-13,True
q_1371,C1,0.011288745197411125,0.011585817439448259,True
q_1371,C2,5.854570097144045e-06,7.365426896407024e-06,True
q_1371,C3,1.4424014983282042e-12,5.625365843479996e-12,True
q_1043,C1,0.14129967603436266,0.14129967603436266,False
q_1043,C2,0.006896264545987969,0.007269035602527859,True
q_1043,C3,9.750607306718998e-12,3.457033499654917e-11,True
q_208,C1,1.0199512435195114e-25,1.9889049248630473e-24,True
q_208,C2,6.437054301527558e-19,8.368170591985825e-18,True
q_208,C3,3.4712463581949893e-31,1.3537860796960457e-29,True
q_206,C1,2.2644502446330134e-13,1.103919494258594e-12,True
q_206,C2,5.0986630638020604e-11,1.6570654957356697e-10,True
q_206,C3,2.5006970176740025e-15,2.4381795922321524e-14,True
q_1578,C1,6.273804278332878e-11,1.8821412834998637e-10,True
q_1578,C2,1.3442261043203917e-06,1.8077523471894922e-06,True
q_1578,C3,4.484712249565646e-08,7.950171715139099e-08,True
q_875,C1,4.332813414346053e-08,7.950171715139099e-08,True
q_875,C2,1.6694689543886533e-10,4.6506635157969623e-10,True
q_875,C3,1.2684989461689492e-12,5.4968287667321135e-12,True
q_285,C1,0.003279537943437881,0.0035528327720577044,True
q_285,C2,6.502852039238956e-10,1.6907415302021285e-09,True
q_285,C3,8.089486298354179e-05,9.013999018166085e-05,True
q_820,C1,3.3166423531128795e-05,3.8043838756294794e-05,True
q_820,C2,1.2267086778904452e-08,2.3920819218863683e-08,True
q_820,C3,1.5512111873972327e-06,2.0165745436164024e-06,True
q_1044,C1,1.1009544002077913e-06,1.5334722002894237e-06,True
q_1044,C2,1.607405184649064e-13,8.955543171616213e-13,True
q_1044,C3,4.5249119653962065e-07,6.787367948094311e-07,True
q_867,C1,3.821765671263811e-09,7.844676904173086e-09,True
q_867,C2,1.514888981013137e-13,8.955543171616213e-13,True
q_867,C3,8.848638448541505e-08,1.5004213021439943e-07,True
q_4288,C1,2.4140489999256675e-09,5.538112411594178e-09,True
q_4288,C2,1.1269385100781198e-05,1.3318364210014143e-05,True
q_4288,C3,3.7218501744783526e-09,7.844676904173086e-09,True
q_832,C1,9.467042491978834e-06,1.1537958037099203e-05,True
q_832,C2,1.9983499521368325e-07,3.247318672222353e-07,True
q_832,C3,2.4866436474197837e-07,3.8791640899748626e-07,True
